context,questions,answers
"Scheme responsible for the protection of your eligible depositYour eligible deposit is covered by a statutory Deposit Guarantee Scheme. If insolvency of your bank, building society or credit union should occur, your eligible deposits would be repaid up to £85,000 by the Deposit Guarantee Scheme.","How much could your eligible deposits be paid  by the Deposit Guarantee Scheme if insolvency of your bank, building society or credit union should occur?","Up to £85,000."
"Limit of protection for joint accountsIn case of joint accounts, the limit of £85,000 applies to each depositor. However, eligible deposits in an account to which two or more persons are entitled as members of a business partnership, association or grouping of a similar nature, without legal personality, are aggregated and treated as if made by a single depositor for the purpose of calculating the limit of £85,000.",How much does the limit of applies to each depositor in case of joint accounts?,"£85,000."
"You will earn a variable rate of interest, of 0.50% AER (0.50% Gross) paid quarterly, on credit balances between £1 and £2,499.99.",How much interest will you earn?,"You will earn a variable rate of interest, of 0.50% AER (0.50% Gross) paid quarterly, on credit balances between £1 and £2,499.99."
"Barclays Bank UK PLC also trades under Barclays, Barclays Business Banking, Barclays Premier Banking and Barclays Wealth Management. This means that all eligible deposits with one or more of these trading names are in total covered up to £85,000.",How much will all eligible deposits with Barclays cover up?," Up to £85,000."
"If you are registered for Internet Banking or you use our Mobile Banking app, you can use it to report a lost or stolen debit card, request a replacement debit card or PIN.                                                        In Scotland, you can also contact us and give instructions for most day to day banking at Bank of Scotland.                             We strongly recommend you do not use email to give us confidential information or instructions.                                                     Not all services are available through Telephone Banking 24 hours a day, seven days a week. Please ask an adviser for more information.                                           You can usually use our Telephone, Internet and Mobile Banking services and Cashpoint® machines at all times. Occasionally repairs and maintenance may mean a service isn’t available for a short time. Our accounts are not designed for postal use.  If you contact us by post your letter will go to a central unit before being sent to the correct area, and this will add at least  1 working day to our usual timescales.",How to contact us?,"If you are registered for Internet Banking or you use our Mobile Banking app, you can use it to report a lost or stolen debit card, request a replacement debit card or PIN.                                                                                In Scotland, you can also contact us and give instructions for most day to day banking at Bank of Scotland.                                  We strongly recommend you do not use email to give us confidential information or instructions.                                                                 Not all services are available through Telephone Banking 24 hours a day, seven days a week. Please ask an adviser for more information.                                                             You can usually use our Telephone, Internet and Mobile Banking services and Cashpoint® machines at all times. Occasionally repairs and maintenance may mean a service isn’t available for a short time. Our accounts are not designed for postal use.  If you contact us by post your letter will go to a central unit before being sent to the correct area, and this will add at least  1 working day to our usual timescales."
"To exercise or change your benefit option you must follow 
the procedures contained in the welcome letter or email 
sent to you by Hawk Incentives Limited.",How to exercise or change your benefit option?,You must follow 
"The benefit option selected will continue for so long as the 
Club Lloyds account remains open, or you have a Club Lloyds 
benefits package added to an Added Value Account, and 
the Club Lloyds fee continues to be paid or conditions for 
the fee to be waived are met.",How to make the benefit option selected continue?,"The benefit option selected will continue for so long as the Club Lloyds account remains open, or you have a Club Lloyds benefits package added to an Added Value Account, and the Club Lloyds fee continues to be paid or conditions for the fee to be waived are met."
3.21 Payment transactions will be shown on your Account in sterling (GBP) and will be executed in sterling (GBP) unless otherwise agreed.,How will the Payment transactions be shown?,Payment transactions will be shown on your Account in sterling (GBP) and will be executed in sterling (GBP) unless otherwise agreed.
As we are advancing funds to you we will charge you interest based on the typical number of days within which we expected the cheque to clear at a margin above the Bank Of England Bank Rate for the currency. The interest fee and our charges will be deducted from the proceeds1 credited to your account. Should we need to convert the proceeds of the cheque to another currency to credit your account then we will use the Foreign Exchange (FX) Negotiation rate available at the time of processing. Please note this FX rate will incorporate the interest fee we will apply. ,How will you be charged for interest as we are advancing funds to you?, We will charge you interest based on the typical number of days within which we expected the cheque to clear at a margin above the Bank Of England Bank Rate for the currency.
"If you do not want to accept any change we tell you about, you can end the agreement without charge. The change will still apply until you have paid everything you owe us. However, if the change is an increase to an interest rate, you can repay what you owe us at the unchanged interest rate if you tell us within 60 calendar days of notice of the increase that you do not want to accept the higher rate.","if the change is an increase to an interest rate, can you repay what you owe us at the unchanged interest rate if you tell us within 60 calendar days of notice of the increase that you do not want to accept the higher rate?","Yes,you can pay your bill at the unchanged interest rate if you tell us within 60 calendar days of notice of the increase that you do not want to accept an increase to an interest rate."
"If the type of account you hold isn’t listed here, please visit lloydsbank.com for an overview of your account features and charges or ask in branch","If the type of account you hold isn’t listed here,what can you do?", Please visit lloydsbank.com for an overview of your account features and charges or ask in branch
"Some of our current accounts have interest free amounts on their arranged overdrafts. This means if you are using your arranged overdraft, you won’t pay daily interest up to that amount.","If you are using 
your arranged overdraft,will you pay daily interest up to 
that amount?","No,you won’t pay daily interest up to 
that amount."
"If you ask the cash machine operator/financial service provider to make the conversion, we will not charge you a currency conversion fee but we will charge a foreign cash fee of £1.50 for each withdrawal. The provider of the foreign currency may make a separate charge for the conversion.","If you ask the cash machine operator/financial service 
provider to make the conversion, will we t charge you a 
currency conversion fee?","No,we will not charge you a 
currency conversion fee but we will charge a foreign cash 
fee of £1.50 for each withdrawal. The provider of the foreign 
currency may make a separate charge for the conversion."
"You can add Club Lloyds benefits to your Platinum Account (subject to meeting the relevant conditions). If you have added a Club Lloyds benefits package to your Added Value Account, you will pay both the Club Lloyds monthly maintaining the account fee and the monthly maintaining the account fee for your Added Value Account, but if you pay £1,500 or more into the account in any one calendar month, the Club Lloyds maintaining the account fee for that monthly billing period won’t apply.","If you have added a Club Lloyds benefits package to your Added Value Account, will you pay both the Club Lloyds monthly maintaining the account fee and the monthly maintaining the account fee for your Added Value Account?","Yes, you will pay both the Club Lloyds monthly 
maintaining the account fee and the monthly maintaining 
the account fee for your Added Value Account, but if you 
pay £1,500 or more into the account in any one calendar 
month, the Club Lloyds maintaining the account fee for that 
monthly billing period won’t apply."
"If you try to make a payment that would take your account 
overdrawn or over your arranged overdraft limit, we may not 
make that payment. ","If you try to make a payment that would take your account 
overdrawn or over your arranged overdraft limit,will we make that payment. ?","No,we may not 
make that payment.,if you try to make a payment that would take your account 
overdrawn or over your arranged overdraft limit,"
"If you use your debit card or Cashpoint card to withdraw cash in a foreign currency, or to withdraw cash in pounds outside the UK, Visa will convert the amount into pounds the day the transaction is processed using the Visa Payment Scheme Exchange Rate. We will charge a foreign currency transaction fee of 2.99% of the amount of the transaction. This is a fee for currency conversion. We will also charge a foreign currency cash fee of £1.50 for each withdrawal.","If you use your debit card or Cashpoint card to withdraw 
cash in a foreign currency, or to withdraw cash in pounds 
outside the UK, will Visa convert the amount into pounds 
the day the transaction is processed using the Visa Payment 
Scheme Exchange Rate?","Yes,Visa will convert the amount into pounds 
the day the transaction is processed using the Visa Payment 
Scheme Exchange Rate. We will charge a foreign currency 
transaction fee of 2.99% of the amount of the transaction. 
This is a fee for currency conversion. We will also charge a 
foreign currency cash fee of £1.50 for each withdrawal"
"You must pay us the minimum payment on the date shown on your monthly account statement. The date will be at least 20 calendar days after the date of your statement. The minimum payment will be the greater of:
￡20, or the full outstanding balance if less than ￡20, or
Any fees and charges for the month, plus 5% of the remaining balance.","In at least 20 calendar days after the date of your statement, how much you need to pany at least?","You should pay the greater of the minimum payment:
￡20, or the full outstanding balance if less than ￡20, or
Any fees and charges for the month, plus 5% of the remaining balance."
"We will notify you of your initial credit limit when we issue your card to you. We may change your credit limit at any time by giving you notice. If we are reducing your credit limit (which may be a reduction to ￡0), our notice will normally specify a period of at least 60 calendar days before it comes into effect, but it may come into effect immediately if:
You have asked us to reduce the credit limit; or
There has been an adverse change in your personal circumstances.",In what conditions wont’s we give you at least 60 calendar days notice before we reduce your credit limit (which may be a reduction to ￡0) ?,You have asked us to reduce the credit limit; or
A Club Lloyds account holder is entitled to choose to receive any one from a range of Lifestyle Benefits each of which is described in the Club Lloyds welcome pack. For a joint account only one benefit can be chosen.,"Is a Club Lloyds account holder entitled to choose to receive 
any one from a range of Lifestyle Benefits?","Yes,a Club Lloyds account holder is entitled to choose to receive 
any one from a range of Lifestyle Benefits each of which 
is described in the Club Lloyds welcome pack. For a joint 
account only one benefit can be chosen"
# Includes VAT (VAT not applicable in the Channel Islands). We reserve the right to amend the price of Barclaysafe in line with any change in the rates of VAT. We may also make other changes – you can find out more information in the Barclaysafe terms and conditions.,Is VAT applicable in the Channel Islands?,"No, it is not applicable in the Channel Islands."
"4.2 Notwithstanding anything to the contrary in this Agreement, if we are prevented, hindered, or delayed from or in performing any of our obligations under this Agreement due to abnormal and unforeseeable circumstances beyond our control (including any strike, lock-out, labour dispute, act of God, war, riot, civil commotion, malicious damage, compliance with a law or governmental order, rule, regulation or direction, accident, breakdown or other failure of equipment, software or communications network, fire, flood, or other circumstances affecting the supply of goods or services), then we shall not be liable to you or be obliged to perform our obligations under this Agreement to the extent that we are prevented, hindered or delayed in our performance by the abnormal and unforeseeable circumstances beyond our control.","Shall we be liable to you or be obliged to perform our obligations under this Agreement to the extent that we are prevented, hindered or delayed in our performance by the abnormal and unforeseeable circumstances beyond our control?","No, we shallnot."
"4.4.1 If we fail to execute (other than in situations where you have not provided us with all of the required information), or incorrectly execute a Transaction on your Account, we shall be liable to you for any reasonable losses incurred by you but only if they arise directly from our breach of this Agreement or our negligence, and if in the ordinary course of events and with the knowledge we had, we might reasonably have expected such loss to result directly from such breach or negligence. Our liability pursuant to this Clause 4.4.1 shall be limited:• to the amount of the relevant transaction pursuant to which our ",Under what circumstances can we reasonably have expected such loss to result directly from such breach or negligence?, Only if the loss arise directly from our breach of this Agreement or our negligence.
"you may not transfer any obligations or rights, benefits or interests under this agreement or in your credit card account, unless we say you can in writing. ","under what circumstances may you transfer any obligations or rights, benefits or interests under this agreement or in your credit card account?",unless we say you can in writing.
"The foreign currency purchase fee will not be charged if 
your purchase is made:
• with a Platinum or Premier account debit card; or
• in euro within the EEA or UK; or
• in euro outside the EEA or UK and the recipient’s 
payment service provider is based within the EEA or UK.",Under what conditions will the foreign currency purchase fee  not be charged?,• with a Platinum or Premier account debit card; or
"We also do not pay credit interest on the amount of any balance over £5,000.",Under what conditions will we  also do not pay credit interest?,"We also do not pay credit interest on the amount of any balance over £5,000."
"We may decide to close your account if we 
become aware that you have:
• opened another payment account in the United Kingdom;
• given us false or misleading information when you applied 
for the account which, had we known about it at the time, 
would have caused us to refuse to open your account;
• not used your account for more than 24 consecutive months;
• used or tried to use your account unlawfully or have 
acted threateningly, abusively or violently towards 
our staff; 
• left the UK or the EU or reside in a state that is no longer 
part of the UK or the EU; or
• become a disqualified person under the Immigration 
Act 2014.",Under what conditions will we may decide to close your account?,"We may decide to close your account if we become aware that you have: • opened another payment account in the United Kingdom; • given us false or misleading information when you applied for the account which, had we known about it at the time, would have caused us to refuse to open your account; • not used your account for more than 24 consecutive months; • used or tried to use your account unlawfully or have acted threateningly, abusively or violently towards our staff; • left the UK or the EU or reside in a state that is no longer part of the UK or the EU; or • become a disqualified person under the Immigration Act 2014."
. This information can include: (i) your name; (ii) the type of account you hold – personal or business; (iii) if your account has switched to another bank.,What  information can  include?,(i) your name; (ii) the type of account you hold – personal or business; (iii) if your account has switched to another bank.
"To make it easier for customers to understand what fees apply for services they use, Banks and Building Societies are using ‘standardised terms’. These are intended to help customers compare the cost of service more easily. The standardised terms and their meaning are  set out below.",What are the ‘standardised terms’ intended to do?,They are intended to help customers compare the cost of service more easily. 
"3.16 Where a future dated Transaction or a Transaction forming part of a series of Transactions falls on a day which is not a Business Day, the date set for the Transaction will be the next Business Day. Therefore if a User wishes to withdraw consent for any such Transaction, they may do so up until 5.30pm on the Business Day immediately before the Business Day on which the Transaction will fall to be made 3.15.",What can a user do if he or she wishes to withdraw consent for any such Transaction?,They may do so up until 5.30pm on the Business Day immediately before the Business Day on which the Transaction will fall to be made 3.15.
"3.13 Unless clause 3.14 or 3.15 applies, once a User has given consent to the instruction for the Transaction as set out in clause 3.4 the User cannot then withdraw their consent to the Transaction. We will however make reasonable efforts to cancel such a Transaction if a User so requests by calling 0345 072 5555.",What can a user do to make us to cancel such a Transaction?,If a User so requests by calling 0345 072 5555.
3.14 Where a User instructs us to carry out a Transaction on a future date the User may withdraw their consent up until 5.30pm on the Business Day immediately before the date set for us to make the Transaction by calling 0345 072 5555.,What can a user do to withdraw their consent up?,Until 5.30pm on the Business Day immediately before the date set for us to make the Transaction by calling 0345 072 5555.
"If you make any other payment, you can choose either: a) to share charges; or b) to pay both our charge and all agent bank charges.",What can you choose if you make any other payment?,a) to share charges; or b) to pay both our charge and all agent bank charges
"If this has been due to your giving incorrect information you can contact us and we will tell you how to put this right. We will notify you or make this information available to you in the manner that we reasonably believe is most appropriate, having regard to the way in which you have sought to instruct us and the terms of our relationship with you.",What can you do if the failure of making the Transaction has been due to your giving incorrect information?, You can contact us and we will tell you how to put this right.
